"","Survived","Pclass","Sex","SibSp","Parch","Fare","Embarked","segment_edat"
"556","0","1","male","0","0",26.55,"S","60-69"
"557","1","1","female","1","0",39.6,"C","40-49"
"558","0","1","male","0","0",227.525,"C","20-29"
"559","1","1","female","1","1",79.65,"S","30-39"
"560","1","3","female","1","0",17.4,"S","30-39"
"561","0","3","male","0","0",7.75,"Q","20-29"
"562","0","3","male","0","0",7.8958,"S","30-39"
"563","0","2","male","0","0",13.5,"S","20-29"
"564","0","3","male","0","0",8.05,"S","20-29"
"565","0","3","female","0","0",8.05,"S","20-29"
"566","0","3","male","2","0",24.15,"S","20-29"
"567","0","3","male","0","0",7.8958,"S","10-19"
"568","0","3","female","0","4",21.075,"S","20-29"
"569","0","3","male","0","0",7.2292,"C","20-29"
"570","1","3","male","0","0",7.8542,"S","30-39"
"571","1","2","male","0","0",10.5,"S","60-69"
"572","1","1","female","2","0",51.4792,"S","50-59"
"573","1","1","male","0","0",26.3875,"S","30-39"
"574","1","3","female","0","0",7.75,"Q","20-29"
"575","0","3","male","0","0",8.05,"S","10-19"
"576","0","3","male","0","0",14.5,"S","10-19"
"577","1","2","female","0","0",13,"S","30-39"
"578","1","1","female","1","0",55.9,"S","30-39"
"579","0","3","female","1","0",14.4583,"C","20-29"
"580","1","3","male","0","0",7.925,"S","30-39"
"581","1","2","female","1","1",30,"S","20-29"
"582","1","1","female","1","1",110.8833,"C","30-39"
"583","0","2","male","0","0",26,"S","50-59"
"584","0","1","male","0","0",40.125,"C","30-39"
"585","0","3","male","0","0",8.7125,"C","20-29"
"586","1","1","female","0","2",79.65,"S","10-19"
"587","0","2","male","0","0",15,"S","40-49"
"588","1","1","male","1","1",79.2,"C","50-59"
"589","0","3","male","0","0",8.05,"S","20-29"
"590","0","3","male","0","0",8.05,"S","20-29"
"591","0","3","male","0","0",7.125,"S","30-39"
"592","1","1","female","1","0",78.2667,"C","50-59"
"593","0","3","male","0","0",7.25,"S","40-49"
"594","0","3","female","0","2",7.75,"Q","20-29"
"595","0","2","male","1","0",26,"S","30-39"
"596","0","3","male","1","1",24.15,"S","30-39"
"597","1","2","female","0","0",33,"S","20-29"
"598","0","3","male","0","0",0,"S","40-49"
"599","0","3","male","0","0",7.225,"C","20-29"
"600","1","1","male","1","0",56.9292,"C","40-49"
"601","1","2","female","2","1",27,"S","20-29"
"602","0","3","male","0","0",7.8958,"S","20-29"
"603","0","1","male","0","0",42.4,"S","20-29"
"604","0","3","male","0","0",8.05,"S","40-49"
"605","1","1","male","0","0",26.55,"C","30-39"
"606","0","3","male","1","0",15.55,"S","30-39"
"607","0","3","male","0","0",7.8958,"S","20-29"
"608","1","1","male","0","0",30.5,"S","20-29"
"609","1","2","female","1","2",41.5792,"C","20-29"
"610","1","1","female","0","0",153.4625,"S","30-39"
"611","0","3","female","1","5",31.275,"S","30-39"
"612","0","3","male","0","0",7.05,"S","20-29"
"613","1","3","female","1","0",15.5,"Q","20-29"
"614","0","3","male","0","0",7.75,"Q","20-29"
"615","0","3","male","0","0",8.05,"S","30-39"
"616","1","2","female","1","2",65,"S","20-29"
"617","0","3","male","1","1",14.4,"S","30-39"
"618","0","3","female","1","0",16.1,"S","20-29"
"619","1","2","female","2","1",39,"S","0-9"
"620","0","2","male","0","0",10.5,"S","20-29"
"621","0","3","male","1","0",14.4542,"C","20-29"
"622","1","1","male","1","0",52.5542,"S","40-49"
"623","1","3","male","1","1",15.7417,"C","10-19"
"624","0","3","male","0","0",7.8542,"S","20-29"
"625","0","3","male","0","0",16.1,"S","20-29"
"626","0","1","male","0","0",32.3208,"S","60-69"
"627","0","2","male","0","0",12.35,"Q","50-59"
"628","1","1","female","0","0",77.9583,"S","20-29"
"629","0","3","male","0","0",7.8958,"S","20-29"
"630","0","3","male","0","0",7.7333,"Q","20-29"
"631","1","1","male","0","0",30,"S",">70"
"632","0","3","male","0","0",7.0542,"S","50-59"
"633","1","1","male","0","0",30.5,"C","30-39"
"634","0","1","male","0","0",0,"S","20-29"
"635","0","3","female","3","2",27.9,"S","0-9"
"636","1","2","female","0","0",13,"S","20-29"
"637","0","3","male","0","0",7.925,"S","30-39"
"638","0","2","male","1","1",26.25,"S","30-39"
"639","0","3","female","0","5",39.6875,"S","40-49"
"640","0","3","male","1","0",16.1,"S","20-29"
"641","0","3","male","0","0",7.8542,"S","10-19"
"642","1","1","female","0","0",69.3,"C","20-29"
"643","0","3","female","3","2",27.9,"S","0-9"
"644","1","3","male","0","0",56.4958,"S","20-29"
"645","1","3","female","2","1",19.2583,"C","0-9"
"646","1","1","male","1","0",76.7292,"C","40-49"
"647","0","3","male","0","0",7.8958,"S","10-19"
"648","1","1","male","0","0",35.5,"C","50-59"
"649","0","3","male","0","0",7.55,"S","20-29"
"650","1","3","female","0","0",7.55,"S","20-29"
"651","0","3","male","0","0",7.8958,"S","20-29"
"652","1","2","female","0","1",23,"S","10-19"
"653","0","3","male","0","0",8.4333,"S","20-29"
"654","1","3","female","0","0",7.8292,"Q","20-29"
"655","0","3","female","0","0",6.75,"Q","10-19"
"656","0","2","male","2","0",73.5,"S","20-29"
"657","0","3","male","0","0",7.8958,"S","20-29"
"658","0","3","female","1","1",15.5,"Q","30-39"
"659","0","2","male","0","0",13,"S","20-29"
"660","0","1","male","0","2",113.275,"C","50-59"
"661","1","1","male","2","0",133.65,"S","40-49"
"662","0","3","male","0","0",7.225,"C","30-39"
"663","0","1","male","0","0",25.5875,"S","40-49"
"664","0","3","male","0","0",7.4958,"S","30-39"
"665","1","3","male","1","0",7.925,"S","10-19"
"666","0","2","male","2","0",73.5,"S","30-39"
"667","0","2","male","0","0",13,"S","20-29"
"668","0","3","male","0","0",7.775,"S","20-29"
"669","0","3","male","0","0",8.05,"S","40-49"
"670","1","1","female","1","0",52,"S","20-29"
"671","1","2","female","1","1",39,"S","30-39"
"672","0","1","male","1","0",52,"S","30-39"
"673","0","2","male","0","0",10.5,"S","60-69"
"674","1","2","male","0","0",13,"S","30-39"
"675","0","2","male","0","0",0,"S","20-29"
"676","0","3","male","0","0",7.775,"S","10-19"
"677","0","3","male","0","0",8.05,"S","20-29"
"678","1","3","female","0","0",9.8417,"S","10-19"
"679","0","3","female","1","6",46.9,"S","40-49"
"680","1","1","male","0","1",512.3292,"C","30-39"
"681","0","3","female","0","0",8.1375,"Q","20-29"
"682","1","1","male","0","0",76.7292,"C","20-29"
"683","0","3","male","0","0",9.225,"S","10-19"
"684","0","3","male","5","2",46.9,"S","10-19"
"685","0","2","male","1","1",39,"S","50-59"
"686","0","2","male","1","2",41.5792,"C","20-29"
"687","0","3","male","4","1",39.6875,"S","10-19"
"688","0","3","male","0","0",10.1708,"S","10-19"
"689","0","3","male","0","0",7.7958,"S","10-19"
"690","1","1","female","0","1",211.3375,"S","10-19"
"691","1","1","male","1","0",57,"S","30-39"
"692","1","3","female","0","1",13.4167,"C","0-9"
"693","1","3","male","0","0",56.4958,"S","20-29"
"694","0","3","male","0","0",7.225,"C","20-29"
"695","0","1","male","0","0",26.55,"S","50-59"
"696","0","2","male","0","0",13.5,"S","50-59"
"697","0","3","male","0","0",8.05,"S","40-49"
"698","1","3","female","0","0",7.7333,"Q","20-29"
"699","0","1","male","1","1",110.8833,"C","40-49"
"700","0","3","male","0","0",7.65,"S","40-49"
"701","1","1","female","1","0",227.525,"C","10-19"
"702","1","1","male","0","0",26.2875,"S","30-39"
"703","0","3","female","0","1",14.4542,"C","10-19"
"704","0","3","male","0","0",7.7417,"Q","20-29"
"705","0","3","male","1","0",7.8542,"S","20-29"
"706","0","2","male","0","0",26,"S","30-39"
"707","1","2","female","0","0",13.5,"S","40-49"
"708","1","1","male","0","0",26.2875,"S","40-49"
"709","1","1","female","0","0",151.55,"S","20-29"
"710","1","3","male","1","1",15.2458,"C","20-29"
"711","1","1","female","0","0",49.5042,"C","20-29"
"712","0","1","male","0","0",26.55,"S","20-29"
"713","1","1","male","1","0",52,"S","40-49"
"714","0","3","male","0","0",9.4833,"S","20-29"
"715","0","2","male","0","0",13,"S","50-59"
"716","0","3","male","0","0",7.65,"S","10-19"
"717","1","1","female","0","0",227.525,"C","30-39"
"718","1","2","female","0","0",10.5,"S","20-29"
"719","0","3","male","0","0",15.5,"Q","20-29"
"720","0","3","male","0","0",7.775,"S","30-39"
"721","1","2","female","0","1",33,"S","0-9"
"722","0","3","male","1","0",7.0542,"S","10-19"
"723","0","2","male","0","0",13,"S","30-39"
"724","0","2","male","0","0",13,"S","40-49"
"725","1","1","male","1","0",53.1,"S","20-29"
"726","0","3","male","0","0",8.6625,"S","10-19"
"727","1","2","female","3","0",21,"S","20-29"
"728","1","3","female","0","0",7.7375,"Q","20-29"
"729","0","2","male","1","0",26,"S","20-29"
"730","0","3","female","1","0",7.925,"S","20-29"
"731","1","1","female","0","0",211.3375,"S","20-29"
"732","0","3","male","0","0",18.7875,"C","10-19"
"733","0","2","male","0","0",0,"S","20-29"
"734","0","2","male","0","0",13,"S","20-29"
"735","0","2","male","0","0",13,"S","20-29"
"736","0","3","male","0","0",16.1,"S","20-29"
"737","0","3","female","1","3",34.375,"S","40-49"
"738","1","1","male","0","0",512.3292,"C","30-39"
"739","0","3","male","0","0",7.8958,"S","20-29"
"740","0","3","male","0","0",7.8958,"S","20-29"
"741","1","1","male","0","0",30,"S","20-29"
"742","0","1","male","1","0",78.85,"S","30-39"
"743","1","1","female","2","2",262.375,"C","20-29"
"744","0","3","male","1","0",16.1,"S","20-29"
"745","1","3","male","0","0",7.925,"S","30-39"
"746","0","1","male","1","1",71,"S","60-69"
"747","0","3","male","1","1",20.25,"S","10-19"
"748","1","2","female","0","0",13,"S","20-29"
"749","0","1","male","1","0",53.1,"S","10-19"
"750","0","3","male","0","0",7.75,"Q","30-39"
"751","1","2","female","1","1",23,"S","0-9"
"752","1","3","male","0","1",12.475,"S","0-9"
"753","0","3","male","0","0",9.5,"S","30-39"
"754","0","3","male","0","0",7.8958,"S","20-29"
"755","1","2","female","1","2",65,"S","40-49"
"756","1","2","male","1","1",14.5,"S","0-9"
"757","0","3","male","0","0",7.7958,"S","20-29"
"758","0","2","male","0","0",11.5,"S","10-19"
"759","0","3","male","0","0",8.05,"S","30-39"
"760","1","1","female","0","0",86.5,"S","30-39"
"761","0","3","male","0","0",14.5,"S","20-29"
"762","0","3","male","0","0",7.125,"S","40-49"
"763","1","3","male","0","0",7.2292,"C","10-19"
"764","1","1","female","1","2",120,"S","30-39"
"765","0","3","male","0","0",7.775,"S","10-19"
"766","1","1","female","1","0",77.9583,"S","50-59"
"767","0","1","male","0","0",39.6,"C","20-29"
"768","0","3","female","0","0",7.75,"Q","30-39"
"769","0","3","male","1","0",24.15,"Q","20-29"
"770","0","3","male","0","0",8.3625,"S","30-39"
"771","0","3","male","0","0",9.5,"S","20-29"
"772","0","3","male","0","0",7.8542,"S","40-49"
"773","0","2","female","0","0",10.5,"S","50-59"
"774","0","3","male","0","0",7.225,"C","20-29"
"775","1","2","female","1","3",23,"S","50-59"
"776","0","3","male","0","0",7.75,"S","10-19"
"777","0","3","male","0","0",7.75,"Q","20-29"
"778","1","3","female","0","0",12.475,"S","0-9"
"779","0","3","male","0","0",7.7375,"Q","20-29"
"780","1","1","female","0","1",211.3375,"S","40-49"
"781","1","3","female","0","0",7.2292,"C","10-19"
"782","1","1","female","1","0",57,"S","10-19"
"783","0","1","male","0","0",30,"S","20-29"
"784","0","3","male","1","2",23.45,"S","20-29"
"785","0","3","male","0","0",7.05,"S","20-29"
"786","0","3","male","0","0",7.25,"S","20-29"
"787","1","3","female","0","0",7.4958,"S","10-19"
"788","0","3","male","4","1",29.125,"Q","0-9"
"789","1","3","male","1","2",20.575,"S","0-9"
"790","0","1","male","0","0",79.2,"C","40-49"
"791","0","3","male","0","0",7.75,"Q","20-29"
"792","0","2","male","0","0",26,"S","10-19"
"793","0","3","female","8","2",69.55,"S","20-29"
"794","0","1","male","0","0",30.6958,"C","20-29"
"795","0","3","male","0","0",7.8958,"S","20-29"
"796","0","2","male","0","0",13,"S","30-39"
"797","1","1","female","0","0",25.9292,"S","40-49"
"798","1","3","female","0","0",8.6833,"S","30-39"
"799","0","3","male","0","0",7.2292,"C","20-29"
"800","0","3","female","1","1",24.15,"S","20-29"
"801","0","2","male","0","0",13,"S","30-39"
"802","1","2","female","1","1",26.25,"S","30-39"
"803","1","1","male","1","2",120,"S","10-19"
"804","1","3","male","0","1",8.5167,"C","0-9"
"805","1","3","male","0","0",6.975,"S","20-29"
"806","0","3","male","0","0",7.775,"S","30-39"
"807","0","1","male","0","0",0,"S","30-39"
"808","0","3","female","0","0",7.775,"S","10-19"
"809","0","2","male","0","0",13,"S","30-39"
"810","1","1","female","1","0",53.1,"S","30-39"
"811","0","3","male","0","0",7.8875,"S","20-29"
"812","0","3","male","0","0",24.15,"S","30-39"
"813","0","2","male","0","0",10.5,"S","30-39"
"814","0","3","female","4","2",31.275,"S","0-9"
"815","0","3","male","0","0",8.05,"S","30-39"
"816","0","1","male","0","0",0,"S","20-29"
"817","0","3","female","0","0",7.925,"S","20-29"
"818","0","2","male","1","1",37.0042,"C","30-39"
"819","0","3","male","0","0",6.45,"S","40-49"
"820","0","3","male","3","2",27.9,"S","0-9"
"821","1","1","female","1","1",93.5,"S","50-59"
"822","1","3","male","0","0",8.6625,"S","20-29"
"823","0","1","male","0","0",0,"S","30-39"
"824","1","3","female","0","1",12.475,"S","20-29"
"825","0","3","male","4","1",39.6875,"S","0-9"
"826","0","3","male","0","0",6.95,"Q","20-29"
"827","0","3","male","0","0",56.4958,"S","20-29"
"828","1","2","male","0","2",37.0042,"C","0-9"
"829","1","3","male","0","0",7.75,"Q","20-29"
"830","1","1","female","0","0",80,"Desconegut","60-69"
"831","1","3","female","1","0",14.4542,"C","10-19"
"832","1","2","male","1","1",18.75,"S","0-9"
"833","0","3","male","0","0",7.2292,"C","20-29"
"834","0","3","male","0","0",7.8542,"S","20-29"
"835","0","3","male","0","0",8.3,"S","10-19"
"836","1","1","female","1","1",83.1583,"C","30-39"
"837","0","3","male","0","0",8.6625,"S","20-29"
"838","0","3","male","0","0",8.05,"S","20-29"
"839","1","3","male","0","0",56.4958,"S","30-39"
"840","1","1","male","0","0",29.7,"C","20-29"
"841","0","3","male","0","0",7.925,"S","10-19"
"842","0","2","male","0","0",10.5,"S","10-19"
"843","1","1","female","0","0",31,"C","20-29"
"844","0","3","male","0","0",6.4375,"C","30-39"
"845","0","3","male","0","0",8.6625,"S","10-19"
"846","0","3","male","0","0",7.55,"S","40-49"
"847","0","3","male","8","2",69.55,"S","20-29"
"848","0","3","male","0","0",7.8958,"C","30-39"
"849","0","2","male","0","1",33,"S","20-29"
"850","1","1","female","1","0",89.1042,"C","20-29"
"851","0","3","male","4","2",31.275,"S","0-9"
"852","0","3","male","0","0",7.775,"S",">70"
"853","0","3","female","1","1",15.2458,"C","0-9"
"854","1","1","female","0","1",39.4,"S","10-19"
"855","0","2","female","1","0",26,"S","40-49"
"856","1","3","female","0","1",9.35,"S","10-19"
"857","1","1","female","1","1",164.8667,"S","40-49"
"858","1","1","male","0","0",26.55,"S","50-59"
"859","1","3","female","0","3",19.2583,"C","20-29"
"860","0","3","male","0","0",7.2292,"C","20-29"
"861","0","3","male","2","0",14.1083,"S","40-49"
"862","0","2","male","1","0",11.5,"S","20-29"
"863","1","1","female","0","0",25.9292,"S","40-49"
"864","0","3","female","8","2",69.55,"S","20-29"
"865","0","2","male","0","0",13,"S","20-29"
"866","1","2","female","0","0",13,"S","40-49"
"867","1","2","female","1","0",13.8583,"C","20-29"
"868","0","1","male","0","0",50.4958,"S","30-39"
"869","0","3","male","0","0",9.5,"S","20-29"
"870","1","3","male","1","1",11.1333,"S","0-9"
"871","0","3","male","0","0",7.8958,"S","20-29"
"872","1","1","female","1","1",52.5542,"S","40-49"
"873","0","1","male","0","0",5,"S","30-39"
"874","0","3","male","0","0",9,"S","40-49"
"875","1","2","female","1","0",24,"C","20-29"
"876","1","3","female","0","0",7.225,"C","10-19"
"877","0","3","male","0","0",9.8458,"S","10-19"
"878","0","3","male","0","0",7.8958,"S","10-19"
"879","0","3","male","0","0",7.8958,"S","20-29"
"880","1","1","female","0","1",83.1583,"C","50-59"
"881","1","2","female","0","1",26,"S","20-29"
"882","0","3","male","0","0",7.8958,"S","30-39"
"883","0","3","female","0","0",10.5167,"S","20-29"
"884","0","2","male","0","0",10.5,"S","20-29"
"885","0","3","male","0","0",7.05,"S","20-29"
"886","0","3","female","0","5",29.125,"Q","30-39"
"887","0","2","male","0","0",13,"S","20-29"
"888","1","1","female","0","0",30,"S","10-19"
"889","0","3","female","1","2",23.45,"S","20-29"
"890","1","1","male","0","0",30,"C","20-29"
"891","0","3","male","0","0",7.75,"Q","30-39"
